latitude,longitude,depth,datetime,value,parametername,dataprovider,datasettitle,stationname,valuesign
51.08771515,4.17436314,3.27999997,2011-09-01T06:44:21,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,1.33000004,2011-09-01T06:44:21,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-0.63999999,2011-09-01T06:44:21,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,1.01999998,2011-09-01T06:34:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-0.94999999,2011-09-01T06:34:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,4.25,2011-09-01T06:44:21,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,2.30999994,2011-09-01T06:44:21,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,0.34,2011-09-01T06:44:21,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-1.63,2011-09-01T06:44:21,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,3.51999998,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,1.57000005,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-0.40000001,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-2.36999989,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,2.54999995,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,0.57999998,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,3.19000006,2011-09-01T07:04:53,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,1.23000002,2011-09-01T07:04:53,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,-1.38999999,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,4.15999985,2011-09-01T07:04:53,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,2.21000004,2011-09-01T07:04:53,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,0.23999999,2011-09-01T07:04:53,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,4.01000023,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,2.05999994,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
51.08771515,4.17436314,0.09,2011-09-01T06:53:03,-,"Stroomsnelheid (y-richting) in de waterkolom in m/s","De Vlaamse Waterweg","OMES 13-hours measurements on the Zeeschelde",Lippenbroek,=
